"Allow Subscription for Selected Group(s)","Allow Subscription for Selected Group(s)"
"Limit Emails by Product Qty","Limit Emails by Product Qty"
"Note! Emails will be sent once a day","Note! Emails will be sent once a day"
"Enable Subscribe from Category Page","Enable Subscribe from Category Page"
"Use Popup for Guests on Category","Use Popup for Guests on Category"
"Placeholder for the Subscription Field","Placeholder for the Subscription Field"
"Specify the placeholder to be displayed inside the subscription field by default","Specify the placeholder to be displayed inside the subscription field by default"
"Price Subscription","Price Subscription"
"Please Enable Default Price Alerts in Configuration - Catalog - Product Alerts","Please Enable Default Price Alerts in Configuration - Catalog - Product Alerts"
"Admin Notifications","Admin Notifications"
"Send Email Reports for New Subscriptions (Daily)","Send Email Reports for New Subscriptions (Daily)"
"Set 'Yes' to receive daily emails with a list of all products to which the customers have subscribed.","Set 'Yes' to receive daily emails with a list of all products to which the customers have subscribed."
"Email Template to Notify Admin","Email Template to Notify Admin"
"Notify Admin about Inventory Low in Stock","Notify Admin about Inventory Low in Stock"
"Set 'Yes' to get email alert when product is about to go out-of-stock. It works based on Notify for Quantity Below setting.","Set 'Yes' to get email alert when product is about to go out-of-stock. It works based on Notify for Quantity Below setting."
"Email Template to Notify Low in Stock","Email Template to Notify Low in Stock"
"Notify for Quantity Below","Notify for Quantity Below"
"Notify Admin about Out of Stock Inventory","Notify Admin about Out of Stock Inventory"
"Email Template to Notify Out Of Stock","Email Template to Notify Out Of Stock"
"Admin Email Address","Admin Email Address"
"Comma-separated emails, no spaces.","Comma-separated emails, no spaces."
"Email Sender","Email Sender"
"GDPR Consent","GDPR Consent"
Enabled,Enabled
"Consent Text","Consent Text"
Back,Back
Store,Store
"Product SKU","Product SKU"
"Add New Subscription","Add New Subscription"
"Delete items","Delete items"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
Sent,Sent
Status,Status
"Price Subscriptions","Price Subscriptions"
"Back in Stock Subscriptions","Back in Stock Subscriptions"
